"dados","palabra"
12344,"alcaldía"
12345,"alcance"
12346,"alcantarillado"
12351,"alcanzado"
12352,"alcanzar"
12353,"alcohol"
12354,"alcohólico"
12355,"alcohólico"
12356,"alcoholismo"
12361,"aldea"
12362,"alegar"
12363,"alegato"
12364,"alegrar"
12365,"alegre"
12366,"alegría"
12411,"alejado"
12412,"alejamiento"
12413,"alejar"
12414,"alemán"
12415,"alemán"
12416,"alentar"
12421,"alerce"
12422,"alero"
12423,"alerta"
12424,"alertar"
12425,"alfa"
12426,"alfombra"
12431,"alga"
12432,"algodón"
12433,"aliado"
12434,"alianza"
12435,"alias"
12436,"aliento"
12441,"alimentación"
12442,"alimentar"
12443,"alimenticio"
12444,"alimento"
12445,"alineación"
12446,"alinear"
12451,"alistar"
12452,"aliviar"
12453,"alivio"
12454,"allá"
12455,"allanamiento"
12456,"allanar"
12461,"allende"
12462,"allí"
12463,"alma"
12464,"almacén"
12465,"almacenamiento"
12466,"almacenar"
12511,"almacenero"
12512,"almendra"
12513,"almirante"
12514,"almorzar"
12515,"almuerzo"
12516,"alojamiento"
12521,"alojar"
12522,"alrededor"
12523,"alrededor"
12524,"altamente"
12525,"altar"
12526,"alteración"
12531,"alterar"
12532,"alternar"
12533,"alternativa"
12534,"alternativo"
12535,"altiplano"
12536,"alto"
12541,"altura"
12542,"aludido"
12543,"aludir"
12544,"alumbrado"
12545,"alumbrar"
12546,"alúmina"
12551,"aluminio"
12552,"alumno"
12553,"alunizar"
12554,"alusión"
12555,"aluvial"
12556,"alza"
12561,"alzar"
12562,"amagar"
12563,"amanecer"
12564,"amanecer"
12565,"amante"
12566,"amar"
12611,"amarilla"
12612,"amarillo"
12613,"amarillo"
12614,"amarrar"
12615,"amateur"
12616,"ambición"
12621,"ambicioso"
12622,"ambiental"
12623,"ambientalmente"
12624,"ambiente"
12625,"ámbito"
12626,"ambo"
12631,"ambulancia"
12632,"ambulante"
12633,"amedrentar"
12634,"amenaza"
12635,"amenazar"
12636,"amenizar"
12641,"americano"
12642,"americano"
12643,"ameritar"
12644,"amiga"
12645,"amigo"
12646,"aminorar"
12651,"amistad"
12652,"amistoso"
12653,"amnistía"
12654,"amor"
12655,"amoroso"
12656,"amparar"
12661,"amparo"
12662,"ampliación"
12663,"ampliamente"
12664,"ampliar"
12665,"amplio"
12666,"amplitud"
13111,"anafre"
13112,"análisis"
13113,"analista"
13114,"analíticamente"
13115,"analizable"
13116,"analizada"
13121,"analizado"
13122,"analizar"
13123,"análogamente"
13124,"anatomía"
13125,"ancho"
13126,"anciano"
13131,"ancla"
13132,"anclar"
13133,"andar"
13134,"andino"
13135,"anécdota"
13136,"anexo"
13141,"anfitrión"
13142,"ángel"
13143,"angélico"
13144,"ángulo"
13145,"angustia"
13146,"anhelar"
13151,"anhelo"
13152,"anillo"
13153,"animación"
13154,"animado"
13155,"animador"
13156,"animal"
13161,"animar"
13162,"anímicamente"
13163,"anímico"
13164,"ánimo"
13165,"aniversario"
13166,"ano"
13211,"anoche"
13212,"anomalía"
13213,"anónimamente"
13214,"anonimato"
13215,"anónimo"
13216,"anónimo"
13221,"anotación"
13222,"anotar"
13223,"ansia"
13224,"ansiar"
13225,"ansiedad"
13226,"antaño"
13231,"antártico"
13232,"anteayer"
13233,"antecedente"
13234,"antecedente"
13235,"anteceder"
13236,"antemano"
13241,"antena"
13242,"antenoche"
13243,"anteproyecto"
13244,"anterior"
13245,"anterioridad"
13246,"anteriormente"
13251,"antes"
13252,"anti"
13253,"antiaéreo"
13254,"anticipación"
13255,"anticipadamente"
13256,"anticipado"
13261,"anticipar"
13262,"anticipo"
13263,"antiguamente"
13264,"antigüedad"
13265,"antiguo"
13266,"antología"
13311,"ántrax"
13312,"antropocéntrico"
13313,"antropología"
13314,"anual"
13315,"anualmente"
13316,"anular"
13321,"anunciado"
13322,"anunciar"
13323,"anuncio"
13324,"añadir"
13325,"año"
13326,"apagar"
13331,"aparato"
13332,"aparecer"
13333,"aparecido"
13334,"aparentar"
13335,"aparentemente"
13336,"aparición"
13341,"apariencia"
13342,"apartado"
13343,"apartar"
13344,"aparte"
13345,"apegar"
13346,"apego"
13351,"apelación"
13352,"apelar"
13353,"apellido"
13354,"apelotonar"
13355,"apenas"
13356,"apéndice"
13361,"apertura"
13362,"apetecer"
13363,"apetito"
13364,"aplastar"
13365,"aplaudir"
13366,"aplauso"
13411,"aplazar"
13412,"aplicable"
13413,"aplicación"
13414,"aplicado"
13415,"aplicar"
13416,"apoderado"
13421,"apoderar"
13422,"apodo"
13423,"aportar"
13424,"aporte"
13425,"apostar"
13426,"apoyar"
13431,"apoyo"
13432,"apreciación"
13433,"apreciar"
13434,"aprecio"
13435,"aprehender"
13436,"aprehensión"
13441,"apremio"
13442,"aprender"
13443,"aprendiz"
13444,"aprendizaje"
13445,"aprensión"
13446,"apresar"
13451,"aprestar"
13452,"apresurar"
13453,"apretar"
13454,"aprobación"
13455,"aprobado"
13456,"aprobar"
13461,"apronte"
13462,"apropiado"
13463,"apropiar"
13464,"aprovechamiento"
13465,"aprovechar"
13466,"aproximación"
13511,"aproximadamente"
13512,"aproximadamente"
13513,"aproximado"
13514,"aproximar"
13515,"aptitud"
13516,"apto"
13521,"apuesta"
13522,"apuntar"
13523,"apurar"
13524,"apuro"
13525,"aquejar"
13526,"aquí"
13531,"ara"
13532,"árabe"
13533,"arancel"
13534,"araña"
13535,"arar"
13536,"arbitraje"
13541,"arbitral"
13542,"arbitrar"
13543,"arbitrariamente"
13544,"arbitrario"
13545,"árbitro"
13546,"árbitro"
13551,"árbol"
13552,"arca"
13553,"archipiélago"
13554,"archivar"
13555,"archivo"
13556,"arcilla"
13561,"arco"
13562,"arder"
13563,"arduamente"
13564,"área"
13565,"arena"
13566,"argentino"
13611,"argentino"
13612,"argumentación"
13613,"argumentar"
13614,"argumento"
13615,"arica"
13616,"aries"
13621,"ario"
13622,"arma"
13623,"armado"
13624,"armado"
13625,"armamento"
13626,"armar"
13631,"armonía"
13632,"armonizar"
13633,"aro"
13634,"aroma"
13635,"arquero"
13636,"arquitecto"
13641,"arquitectura"
13642,"arraigo"
13643,"arrancar"
13644,"arrasar"
13645,"arrastrar"
13646,"arrastre"
13651,"arrebatar"
13652,"arreglar"
13653,"arreglo"
13654,"arremeter"
13655,"arremetida"
13656,"arrendamiento"
13661,"arrendar"
13662,"arrepentirse"
13663,"arrestar"
13664,"arresto"
13665,"arriba"
13666,"arribar"
14111,"arriendo"
14112,"arriesgar"
14113,"arrojar"
14114,"arroyo"
14115,"arroz"
14116,"arruar"
14121,"arruinar"
14122,"arsenal"
14123,"arte"
14124,"artefacto"
14125,"arteria"
14126,"artesanal"
14131,"artesanía"
14132,"artesano"
14133,"articulación"
14134,"articular"
14135,"artículo"
14136,"artificial"
14141,"artificialmente"
14142,"artillería"
14143,"artista"
14144,"artístico"
14145,"arzobispo"
14146,"asado"
14151,"asaltar"
14152,"asalto"
14153,"asamblea"
14154,"ascender"
14155,"ascenso"
14156,"ascensor"
14161,"asegurado"
14162,"aseguradora"
14163,"asegurar"
14164,"asemejar"
14165,"asentamiento"
14166,"asentar"
14211,"aseo"
14212,"asesinar"
14213,"asesor"
14214,"asesora"
14215,"asesorar"
14216,"asesoría"
14221,"aseverar"
14222,"asfalto"
14223,"así"
14224,"asiático"
14225,"asiento"
14226,"asignación"
14231,"asignado"
14232,"asignar"
14233,"asignatura"
14234,"asilo"
14235,"asimilar"
14236,"asimismo"
14241,"asir"
14242,"asistencia"
14243,"asistencial"
14244,"asistente"
14245,"asistir"
14246,"asociación"
14251,"asociado"
14252,"asociar"
14253,"asomar"
14254,"asombrar"
14255,"asombro"
14256,"aspecto"
14261,"aspiración"
14262,"aspirante"
14263,"aspirar"
14264,"astillero"
14265,"astro"
14266,"astronomía"
14311,"asumir"
14312,"asunto"
14313,"asustar"
14314,"atacado"
14315,"atacante"
14316,"atacante"
14321,"atacar"
14322,"atajar"
14323,"atañer"
14324,"ataque"
14325,"atar"
14326,"atemorizar"
14331,"atención"
14332,"atender"
14333,"atendido"
14334,"atenerse"
14335,"atentado"
14336,"atentado"
14341,"atentamente"
14342,"atentar"
14343,"atento"
14344,"atenuar"
14345,"aterrizaje"
14346,"aterrizar"
14351,"atinar"
14352,"atlas"
14353,"atleta"
14354,"atlético"
14355,"atletismo"
14356,"atmósfera"
14361,"atmosférico"
14362,"atormentar"
14363,"atracción"
14364,"atraco"
14365,"atractivo"
14366,"atractivo"
14411,"atraer"
14412,"atrapar"
14413,"atrás"
14414,"atrasar"
14415,"atraso"
14416,"atravesar"
14421,"atreverse"
14422,"atribución"
14423,"atribuir"
14424,"atributo"
14425,"atropellar"
14426,"atropello"
14431,"audiencia"
14432,"audio"
14433,"audiovisual"
14434,"auditor"
14435,"auditoría"
14436,"auge"
14441,"augurar"
14442,"augusto"
14443,"aula"
14444,"aumentar"
14445,"aumento"
14446,"aun"
14451,"aún"
14452,"aunar"
14453,"aurora"
14454,"ausentar"
14455,"ausente"
14456,"auspiciar"
14461,"auspicio"
14462,"austeridad"
14463,"austral"
14464,"australiano"
14465,"auténtico"
14466,"auto"
14511,"autobús"
14512,"autoestima"
14513,"automáticamente"
14514,"automático"
14515,"automatizar"
14516,"automotriz"
14521,"automóvil"
14522,"automovilismo"
14523,"automovilista"
14524,"autonomía"
14525,"autónomo"
14526,"autopista"
14531,"autopsia"
14532,"autor"
14533,"autoría"
14534,"autoridad"
14535,"autorización"
14536,"autorizado"
14541,"autorizar"
14542,"auxiliar"
14543,"auxiliar"
14544,"auxilio"
14545,"aval"
14546,"avalancha"
14551,"avalar"
14552,"avaluar"
14553,"avalúo"
14554,"avance"
14555,"avanzado"
14556,"avanzar"
14561,"ave"
14562,"avecinar"
14563,"avenida"
14564,"avenido"
14565,"avenimiento"
14566,"aventajar"
14611,"aventura"
14612,"aventurar"
14613,"avergonzar"
14614,"averiguar"
14615,"aviación"
14616,"avión"
14621,"avisar"
14622,"aviso"
14623,"ayer"
14624,"ayuda"
14625,"ayudante"
14626,"ayudar"
14631,"azar"
14632,"azocar"
14633,"azotar"
14634,"azúcar"
14635,"azufre"
14636,"azul"
14641,"bacteria"
14642,"bahía"
14643,"baila"
14644,"bailar"
14645,"bailarín"
14646,"baile"
14651,"bajado"
14652,"bajar"
14653,"bajo"
14654,"bala"
14655,"balada"
14656,"balancear"
14661,"balanza"
14662,"balazo"
14663,"balcón"
14664,"balear"
14665,"ballet"
14666,"balneario"
15111,"balompié"
15112,"balón"
15113,"baloncesto"
15114,"banca"
15115,"bancada"
15116,"bancario"
15121,"banco"
15122,"banda"
15123,"bandera"
15124,"bando"
15125,"banquete"
15126,"bañar"
15131,"baño"
15132,"bar"
15133,"barajar"
15134,"barato"
15135,"barba"
15136,"barbar"
15141,"bárbaro"
15142,"barco"
15143,"barón"
15144,"barra"
15145,"barrer"
15146,"barrera"
15151,"barriga"
15152,"barril"
15153,"barrio"
15154,"barro"
15155,"basado"
15156,"basar"
15161,"base"
15162,"básicamente"
15163,"básico"
15164,"básquetbol"
15165,"bastante"
15166,"bastar"
15211,"basura"
15212,"batalla"
15213,"bate"
15214,"batería"
15215,"batir"
15216,"batuta"
15221,"bautizar"
15222,"Beatles"
15223,"bebe"
15224,"bebé"
15225,"beber"
15226,"bebida"
15231,"beca"
15232,"béisbol"
15233,"bélico"
15234,"belleza"
15235,"bello"
15236,"bencina"
15241,"bendecir"
15242,"bendición"
15243,"beneficencia"
15244,"beneficiada"
15245,"beneficiado"
15246,"beneficiar"
15251,"beneficiario"
15252,"beneficio"
15253,"Berlín"
15254,"bernardo"
15255,"besar"
15256,"beso"
15261,"bibliografía"
15262,"biblioteca"
15263,"bicentenario"
15264,"bicicleta"
15265,"bien"
15266,"bien"
15311,"bienestar"
15312,"bienvenida"
15313,"bilateral"
15314,"billete"
15315,"binario"
15316,"biodiversidad"
15321,"biografía"
15322,"biología"
15323,"biológico"
15324,"biotecnología"
15325,"bis"
15326,"bit"
15331,"blanco"
15332,"blanco"
15333,"bloque"
15334,"bloquear"
15335,"bloqueo"
15336,"boca"
15341,"boda"
15342,"bodega"
15343,"boga"
15344,"boleta"
15345,"boletín"
15346,"boleto"
15351,"boliviano"
15352,"bolsa"
15353,"bolsillo"
15354,"bomba"
15355,"bombardear"
15356,"bombardeo"
15361,"bombero"
15362,"bondad"
15363,"bonificación"
15364,"bonito"
15365,"bono"
15366,"boom"
15411,"borde"
15412,"bordear"
15413,"bordo"
15414,"borrador"
15415,"borrar"
15416,"bosque"
15421,"bota"
15422,"botar"
15423,"bote"
15424,"botella"
15425,"botín"
15426,"botón"
15431,"boxeo"
15432,"Brasil"
15433,"brasileño"
15434,"bravo"
15435,"brazo"
15436,"brecha"
15441,"bretaña"
15442,"breve"
15443,"brevedad"
15444,"brevemente"
15445,"brigada"
15446,"brigadier"
15451,"brillante"
15452,"brillante"
15453,"brillar"
15454,"brillo"
15455,"brindar"
15456,"brisa"
15461,"británico"
15462,"broma"
15463,"bromear"
15464,"bronce"
15465,"brotar"
15466,"brote"
15511,"bruja"
15512,"bruscamente"
15513,"brutalmente"
15514,"bruto"
15515,"bu"
15516,"buceo"
15521,"buen"
15522,"bulo"
15523,"bulto"
15524,"buque"
15525,"burla"
15526,"burlar"
15531,"burocracia"
15532,"bursátil"
15533,"bus"
15534,"busca"
15535,"buscador"
15536,"buscar"
15541,"búsqueda"
15542,"busto"
15543,"buzo"
15544,"buzón"
15545,"caballería"
15546,"caballero"
15551,"caballito"
15552,"caballo"
15553,"cabalmente"
15554,"cabaña"
15555,"cabello"
15556,"caber"
15561,"cabeza"
15562,"cabezazo"
15563,"cabida"
15564,"cabildo"
15565,"cabina"
15566,"cable"
15611,"cabo"
15612,"cachar"
15613,"cacho"
15614,"cacique"
15615,"cadáver"
15616,"cadena"
15621,"cadera"
15622,"cadete"
15623,"caducar"
15624,"caducidad"
15625,"caer"
15626,"café"
15631,"cagar"
15632,"caída"
15633,"caído"
15634,"caja"
15635,"cajero"
15636,"cajón"
15641,"cal"
15642,"calado"
15643,"calcio"
15644,"calcular"
15645,"cálculo"
15646,"caldera"
15651,"caldo"
15652,"calefacción"
15653,"calendario"
15654,"calentar"
15655,"calero"
15656,"caleta"
15661,"calibre"
15662,"calidad"
15663,"caliente"
15664,"calificación"
15665,"calificado"
15666,"calificar"
16111,"californio"
16112,"callar"
16113,"calle"
16114,"calma"
16115,"calmar"
16116,"calor"
16121,"calvo"
16122,"calzada"
16123,"cama"
16124,"cámara"
16125,"camarada"
16126,"camaradería"
16131,"camarón"
16132,"cambiar"
16133,"cambiario"
16134,"cambio"
16135,"camilo"
16136,"caminar"
16141,"caminata"
16142,"camino"
16143,"camión"
16144,"camionero"
16145,"camioneta"
16146,"camisa"
16151,"camiseta"
16152,"campamento"
16153,"campana"
16154,"campanario"
16155,"campaña"
16156,"campeón"
16161,"campeona"
16162,"campeonato"
16163,"campesino"
16164,"campesino"
16165,"camping"
16166,"campo"
16211,"campus"
16212,"can"
16213,"cana"
16214,"canal"
16215,"canalizar"
16216,"canasta"
16221,"cancelación"
16222,"cancelar"
16223,"cáncer"
16224,"canceroso"
16225,"cancha"
16226,"canchero"
16231,"canciller"
16232,"cancillería"
16233,"canción"
16234,"candidato"
16235,"candidatura"
16236,"candil"
16241,"canon"
16242,"cansado"
16243,"cansancio"
16244,"cansar"
16245,"cantante"
16246,"cantar"
16251,"cantero"
16252,"cantidad"
16253,"canto"
16254,"caña"
16255,"cañón"
16256,"caos"
16261,"capa"
16262,"capacidad"
16263,"capacitación"
16264,"capacitado"
16265,"capacitar"
16266,"capaz"
16311,"capilla"
16312,"cápita"
16313,"capital"
16314,"capitalino"
16315,"capitalismo"
16316,"capitalización"
16321,"capitalizar"
16322,"capitán"
16323,"capitanía"
16324,"capitular"
16325,"capítulo"
16326,"capo"
16331,"caporal"
16332,"captación"
16333,"captar"
16334,"captura"
16335,"capturar"
16336,"cara"
16341,"carabinero"
16342,"caracol"
16343,"carácter"
16344,"característica"
16345,"característicamente"
16346,"característico"
16351,"caracterización"
16352,"caracterizar"
16353,"caravana"
16354,"carbón"
16355,"carbono"
16356,"cárcel"
16361,"cardenal"
16362,"cardenalato"
16363,"carecer"
16364,"carencia"
16365,"carga"
16366,"cargado"
16411,"cargamento"
16412,"cargar"
16413,"cargo"
16414,"cariar"
16415,"caribe"
16416,"caricatura"
16421,"caridad"
16422,"cariño"
16423,"carisma"
16424,"Carlos"
16425,"carmen"
16426,"carnaval"
16431,"carne"
16432,"carné"
16433,"caro"
16434,"carolino"
16435,"carpa"
16436,"carpeta"
16441,"carrera"
16442,"carrete"
16443,"carretera"
16444,"carretero"
16445,"carro"
16446,"carrocería"
16451,"carta"
16452,"cartel"
16453,"cartelero"
16454,"cartera"
16455,"cartilla"
16456,"cartón"
16461,"cartucho"
16462,"carvajal"
16463,"casa"
16464,"casación"
16465,"casado"
16466,"casar"
16511,"casar"
16512,"casco"
16513,"caseta"
16514,"casi"
16515,"casilla"
16516,"casino"
16521,"caso"
16522,"casona"
16523,"castellano"
16524,"castigado"
16525,"castigar"
16526,"castigo"
16531,"castillo"
16532,"castrense"
16533,"castro"
16534,"casualidad"
16535,"catalán"
16536,"catalítico"
16541,"catalogar"
16542,"catálogo"
16543,"catastro"
16544,"catástrofe"
16545,"cátedra"
16546,"catedral"
16551,"categoría"
16552,"categóricamente"
16553,"categórico"
16554,"católico"
16555,"católico"
16556,"cauce"
16561,"caudal"
16562,"causa"
16563,"causal"
16564,"causal"
16565,"causante"
16566,"causar"
16611,"cautela"
16612,"cautelar"
16613,"cautín"
16614,"cautivar"
16615,"caza"
16616,"cazar"
16621,"CD"
16622,"cebolla"
16623,"cecina"
16624,"ceder"
16625,"cédula"
16626,"celda"
16631,"celebración"
16632,"celebración"
16633,"celebrado"
16634,"celebrar"
16635,"celeste"
16636,"celo"
16641,"célula"
16642,"celular"
16643,"cementerio"
16644,"cemento"
16645,"cena"
16646,"cenar"
16651,"ceniza"
16652,"censo"
16653,"censura"
16654,"censurador"
16655,"censurar"
16656,"centavo"
16661,"centenar"
16662,"centenario"
16663,"centésimo"
16664,"centímetro"
16665,"centinela"
16666,"centrado"
21111,"central"
21112,"centrar"
21113,"céntrico"
21114,"centro"
21115,"centro"
21116,"ceñir"
21121,"cepa"
21122,"cerca"
21123,"cercanía"
21124,"cercano"
21125,"cerco"
21126,"cerda"
21131,"cerdo"
21132,"cerebral"
21133,"cerebro"
21134,"ceremonia"
21135,"cero"
21136,"cerrado"
21141,"cerrar"
21142,"cerro"
21143,"certamen"
21144,"certeza"
21145,"certificación"
21146,"certificado"
21151,"certificar"
21152,"cerveza"
21153,"cesante"
21154,"cesante"
21155,"cesantía"
21156,"cesar"
21161,"césar"
21162,"cese"
21163,"cesión"
21164,"césped"
21165,"cetro"
21166,"cf"
21211,"chancho"
21212,"chanda"
21213,"chapotear"
21214,"chaqueta"
21215,"chaquetón"
21216,"charla"
21221,"charlar"
21222,"che"
21223,"chef"
21224,"cheque"
21225,"chequear"
21226,"chequeo"
21231,"chica"
21232,"chicha"
21233,"chicharrón"
21234,"chico"
21235,"chileno"
21236,"chimenea"
21241,"chinchorro"
21242,"chino"
21243,"chino"
21244,"chip"
21245,"chiquillo"
21246,"chispa"
21251,"chiste"
21252,"chocar"
21253,"chocolate"
21254,"chofer"
21255,"choque"
21256,"choro"
21261,"chorro"
21262,"chupar"
21263,"chupete"
21264,"ciclismo"
21265,"ciclista"
21266,"ciclo"
21311,"ciego"
21312,"cielo"
21313,"ciencia"
21314,"científicamente"
21315,"científico"
21316,"científico"
21321,"cierre"
21322,"ciertamente"
21323,"cierto"
21324,"cifra"
21325,"cigarrillo"
21326,"cilindro"
21331,"cima"
21332,"cinc"
21333,"cine"
21334,"cineasta"
21335,"cinematográfico"
21336,"cinta"
21341,"cinturón"
21342,"circo"
21343,"circuito"
21344,"circulación"
21345,"circular"
21346,"circular"
21351,"circular"
21352,"círculo"
21353,"circunscribir"
21354,"circunscripción"
21355,"circunstancia"
21356,"cirugía"
21361,"cirujano"
21362,"cita"
21363,"citación"
21364,"citado"
21365,"citar"
21366,"ciudad"
21411,"ciudadanía"
21412,"ciudadano"
21413,"ciudadano"
21414,"cívico"
21415,"civil"
21416,"civilización"
21421,"clamar"
21422,"claramente"
21423,"claridad"
21424,"clarificar"
21425,"claro"
21426,"claro"
21431,"clase"
21432,"clásico"
21433,"clásico"
21434,"clasificación"
21435,"clasificado"
21436,"clasificar"
21441,"claudio"
21442,"cláusula"
21443,"clausular"
21444,"clausura"
21445,"clausurar"
21446,"clavar"
21451,"clave"
21452,"clavel"
21453,"clavito"
21454,"cliente"
21455,"clima"
21456,"climático"
21461,"climatología"
21462,"clínico"
21463,"clon"
21464,"clonación"
21465,"clonar"
21466,"club"
21511,"coalición"
21512,"cobertura"
21513,"cobijar"
21514,"cobra"
21515,"cobranza"
21516,"cobrar"
21521,"cobre"
21522,"cobro"
21523,"coca"
21524,"cocaína"
21525,"cocer"
21526,"coche"
21531,"cocina"
21532,"cocinar"
21533,"cóctel"
21534,"codazo"
21535,"código"
21536,"codo"
21541,"coexistencia"
21542,"coexistir"
21543,"coherencia"
21544,"coincidencia"
21545,"coincidir"
21546,"col"
21551,"cola"
21552,"colaboración"
21553,"colaborador"
21554,"colaborar"
21555,"colación"
21556,"colapsar"
21561,"colapso"
21562,"colar"
21563,"cole"
21564,"colección"
21565,"colecta"
21566,"colectivamente"
21611,"colectividad"
21612,"colectivo"
21613,"colega"
21614,"colega"
21615,"colegio"
21616,"colegir"
21621,"colesterol"
21622,"colgar"
21623,"colina"
21624,"coliseo"
21625,"colisión"
21626,"colisionar"
21631,"college"
21632,"collera"
21633,"colmo"
21634,"colo"
21635,"colocación"
21636,"colocado"
21641,"colocar"
21642,"colombiano"
21643,"colombiano"
21644,"colón"
21645,"colonia"
